id,pres1_jenjang,pres2_jenjang,pres3_jenjang,juara_pres1,juara_pres2,juara_pres3
20846,Propinsi,Kabupaten/Kota,,Juara 1,Juara 3,
20849,Internasional,Nasional,Propinsi,Medali Emas,Medali Perunggu,Juara 1
20851,,,,,,
20853,,,,,,
20856,,,,,,
20857,,,,,,
20858,Kabupaten/Kota,Nasional,Nasional,,Medali Perak,
20859,Nasional,,,,,
20860,Nasional,Kabupaten/Kota,,,,
20861,,,,,,
20863,Internasional,Nasional,Internasional,Medali Perak,,
20864,,,,,,
20866,Kabupaten/Kota,Kabupaten/Kota,,,,
20869,Nasional,,,,,
20870,,,,,,
20871,,,,,,
20874,,,,,,
20875,,,,,,
20877,,,,,,
20878,Nasional,,,,,
20879,Kabupaten/Kota,Kabupaten/Kota,,Juara 1,Juara 2,
20880,,,,,,
20882,,,,,,
20883,,,,,,
20885,,,,,,
20887,Nasional,Nasional,Nasional,,,
20888,Propinsi,,,Juara 1,,
20889,Nasional,Nasional,Nasional,,,
20890,,,,,,
20891,Kabupaten/Kota,Kabupaten/Kota,,,,
20893,Kabupaten/Kota,Nasional,Nasional,Juara 1,Juara 3,
20899,,,,,,
20900,,,,,,
20902,,,,,,
20903,,,,,,
20904,,,,,,
20905,Kabupaten/Kota,Propinsi,Nasional,Juara 2,,
20907,Propinsi,Nasional,Nasional,,Juara 3,Juara 3
20908,Nasional,Nasional,Nasional,,,
20909,Nasional,Nasional,,,,
20910,Nasional,Propinsi,Internasional,Juara 2,Juara 1,
20913,Kabupaten/Kota,Nasional,Internasional,Juara 1,Juara 2,
20914,,,,,,
20915,,,,,,
20916,,,,,,
20917,,,,,,
20920,,,,,,
20921,,,,,,
20922,Propinsi,Kabupaten/Kota,,Medali Perak,,
20923,,,,,,
20924,Nasional,,,,,
20925,Kabupaten/Kota,Nasional,Nasional,Juara 1,,
20927,Propinsi,,,Juara 1,,
20928,,,,,,
20933,,,,,,
20934,Nasional,Nasional,Kabupaten/Kota,,,
20935,,,,,,
20937,,,,,,
20938,Kabupaten/Kota,,,Juara 2,,
20940,Internasional,Nasional,Internasional,Juara 2,Juara 1,Juara 1
20942,Nasional,Nasional,Nasional,,,
20944,Nasional,Nasional,,Medali Perak,Medali Perunggu,
20948,Nasional,Nasional,Nasional,Medali Perunggu,Medali Perunggu,Medali Perunggu
20950,,,,,,
20951,Propinsi,Propinsi,Propinsi,Juara 3,,Juara 1
20952,Nasional,Kabupaten/Kota,Kabupaten/Kota,,Juara 2,Juara 2
20953,Kabupaten/Kota,Propinsi,Propinsi,,,
20954,Internasional,Internasional,Nasional,Juara 2,Juara 1,Juara 1
20955,Propinsi,,,,,
20958,,,,,,
20959,Nasional,,,Medali Perunggu,,
20961,,,,,,
20966,Nasional,Internasional,Nasional,Juara 1,Juara 1,
20968,Nasional,Propinsi,,,,
20969,Internasional,Propinsi,Kabupaten/Kota,Juara 1,,Juara 2
20970,,,,,,
20971,,,,,,
20974,Nasional,,,,,
20975,Nasional,Nasional,Nasional,Juara 3,,
20976,,,,,,
20977,,,,,,
20979,,,,,,
20980,,,,,,
20981,,,,,,
20983,Propinsi,,,Juara 1,,
20984,,,,,,
20987,,,,,,
20989,Nasional,Nasional,Nasional,,Juara 2,
20990,Nasional,Nasional,Nasional,,,Juara 2
20991,,,,,,
20992,,,,,,
20994,,,,,,
20995,,,,,,
20996,,,,,,
20998,Internasional,Nasional,Internasional,,,
20999,,,,,,
21001,,,,,,
21002,Propinsi,,,,,
21005,Kabupaten/Kota,,,,,
21006,,,,,,
21007,Nasional,,,Medali Perunggu,,
21011,Nasional,Nasional,Nasional,Medali Emas,Medali Perunggu,
21012,Nasional,,,,,
21015,,,,,,
21017,Nasional,Nasional,Nasional,,,
21018,,,,,,
21019,,,,,,
21020,Propinsi,Kabupaten/Kota,,,,
21022,,,,,,
21023,,,,,,
21025,Nasional,Nasional,Kabupaten/Kota,,,
21026,Kabupaten/Kota,Kabupaten/Kota,,Juara 3,,
21027,,,,,,
21028,Kabupaten/Kota,,,Juara 2,,
21029,,,,,,
21030,,,,,,
21031,Nasional,Nasional,Nasional,,Medali Emas,Medali Perak
21033,Kabupaten/Kota,Propinsi,,,,
21034,,,,,,
21035,,,,,,
21037,,,,,,
21038,Nasional,Nasional,Nasional,,,
21039,,,,,,
21040,Nasional,Nasional,Nasional,Medali Emas,Medali Perunggu,Medali Perak
21041,,,,,,
21042,,,,,,
21043,,,,,,
21044,,,,,,
21045,Nasional,,,,,
21046,Nasional,Propinsi,Nasional,Medali Perak,Juara 2,
21048,,,,,,
21049,,,,,,
21050,Kabupaten/Kota,,,,,
21051,Internasional,Internasional,Nasional,Medali Perak,Medali Perak,Medali Emas
21052,,,,,,
21053,Kabupaten/Kota,,,,,
21054,Nasional,Nasional,Nasional,,,Medali Perak
21055,Nasional,Nasional,Nasional,,,
21056,,,,,,
21057,Nasional,,,,,
21058,Nasional,Nasional,Nasional,Juara 2,,
21060,,,,,,
21061,,,,,,
21062,Nasional,Nasional,,Medali Perak,,
21063,Nasional,Nasional,Kabupaten/Kota,,,
21064,,,,,,
21065,Nasional,Nasional,Kabupaten/Kota,,,
21066,Nasional,Nasional,Nasional,,,
21067,,,,,,
21068,,,,,,
21069,Kabupaten/Kota,Nasional,,Juara 2,,
21070,,,,,,
21071,,,,,,
21072,,,,,,
21073,,,,,,
21074,Nasional,Internasional,Internasional,,Medali Perak,Medali Perak
21077,Propinsi,Kabupaten/Kota,Kabupaten/Kota,Juara 2,Juara 2,Juara 3
21078,Nasional,,,,,
21079,Nasional,Propinsi,,,,
21080,Kabupaten/Kota,Nasional,Nasional,,,
21081,,,,,,
21082,,,,,,
21084,Nasional,Nasional,Internasional,,,
21086,,,,,,
21087,Kabupaten/Kota,Propinsi,Propinsi,Juara 2,,
21088,Kabupaten/Kota,,,Juara 2,,
21089,,,,,,
21091,Internasional,Nasional,Internasional,,,Medali Perak
21092,Kabupaten/Kota,,,,,
21094,,,,,,
21095,,,,,,
21096,,,,,,
21097,,,,,,
21098,,,,,,
21099,,,,,,
21100,,,,,,
21101,Nasional,Nasional,Nasional,Medali Perunggu,Juara 1,Juara 3
21104,,,,,,
21105,Nasional,Kabupaten/Kota,Nasional,,,
21110,Nasional,,,,,
21113,,,,,,
21114,,,,,,
21115,Kabupaten/Kota,,,,,
21117,,,,,,
21118,,,,,,
21119,,,,,,
21120,,Propinsi,,,,
21121,,,,,,
21122,,,,,,
21123,,,,,,
21126,,,,,,
21128,,,,,,
21129,Propinsi,Propinsi,Propinsi,Juara 2,,
21130,Nasional,Nasional,Nasional,,,
21131,,,,,,
21132,Nasional,,,,,
21133,Kabupaten/Kota,Kabupaten/Kota,,Juara 1,Juara 3,
21136,Nasional,Kabupaten/Kota,Kabupaten/Kota,,Juara 3,
21138,Propinsi,,,,,
21141,,,,,,
21142,,,,,,
21143,Kabupaten/Kota,,,Juara 2,,
21144,,,,,,
21146,,,,,,
21147,Kabupaten/Kota,,,,,
21148,Nasional,Nasional,Kabupaten/Kota,Juara 1,,Juara 1
21150,,,,,,
21151,,,,,,
21153,Kabupaten/Kota,,,Juara 2,,
